"Source:";"/home/andrea/Development/github/Commodore64C/250469-RevA/C64C-250469-01-A.sch"
"Date:";"Sun 10 May 2020 06:31:55 PM CEST"
"Tool:";"Eeschema 5.1.5"
"Generator:";"/home/andrea/Apps/kicad/plugins/bom_csv_sc_grouped_by_value_with_fp.py"
"Component Count:";"131"
"Ref";"Qnty";"Value";"Cmp name";"Footprint";"Description";"Vendor"
"R5, ";"1";"390";"R";"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical";"Resistor";""
"R9, R17, ";"2";"10k";"R";"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical";"Resistor";""
"R14, ";"1";"100k";"R";"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical";"Resistor";""
"R16, ";"1";"560";"R";"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical";"Resistor";""
"R19, ";"1";"10";"R";"Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal";"Resistor";""
"R100, ";"1";"1.8k";"R";"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical";"Resistor";""
"R101, ";"1";"100";"R";"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical";"Resistor";""
"RN3, RN5, ";"2";"3.3k";"R_Network07";"Resistor_THT:R_Array_SIP8";"7 resistor network, star topology, bussed resistors, small symbol";""
"RN4, ";"1";"3.3k";"R_Network08";"Resistor_THT:R_Array_SIP9";"8 resistor network, star topology, bussed resistors, small symbol";""
"RN6, ";"1";"1k";"R_Network05";"Resistor_THT:R_Array_SIP6";"5 resistor network, star topology, bussed resistors, small symbol";""
"U1, U2, ";"2";"6526A";"6526A";"Package_DIP:DIP-40_W15.24mm_Socket";"CIA Complex Interface Adapter, NMOS, 2MHz, DIP-40";""
"U3, ";"1";"74LS08";"74LS08";"Package_DIP:DIP-14_W7.62mm_Socket";"Quad And2";""
"U4, ";"1";"23128";"23128";"Package_DIP:DIP-28_W15.24mm_Socket";"16K x 8 Mask ROM, DIP-28";""
"U5, ";"1";"2332";"2332";"Package_DIP:DIP-24_W15.24mm_Socket";"4K x 8 Mask ROM, 450ns, DIP-24";""
"U6, ";"1";"8500";"8500";"Package_DIP:DIP-40_W15.24mm_Socket";"CPU Central Processing Unit with I/O, 8-bit, HMOS, 1 MHz, DIP-40";""
"U7, ";"1";"8565R2";"8565R2";"Package_DIP:DIP-40_W15.24mm_Socket";"VIC-II Video Interface Chip II, PAL, HMOS, DIP-40";""
"U8, ";"1";"251715-01";"251715-01";"krl_Package_SPDIP:SPDIP-64_W19.05mm_Socket_LongPads";"C64C Memory Controller (SuperPLA), SPDIP-64";""
"U9, ";"1";"8580R5";"8580R5";"Package_DIP:DIP-28_W15.24mm_Socket";"Video Interface Chip II - C64 - PAL, DIP-28";""
"U10, U11, ";"2";"41464";"41464";"Package_DIP:DIP-18_W7.62mm_Socket";"64K x 4 Dynamic NMOS RAM, DIP-18";""
"U18, U21, ";"2";"4066";"4066";"Package_DIP:DIP-14_W7.62mm_Socket";"Quad Analog Switches";""
"U19, ";"1";"2114";"2114";"Package_DIP:DIP-18_W7.62mm_Socket";"1K x 4 Static RAM, DIP-18";""
"U20, ";"1";"8701";"8701";"Package_DIP:DIP-16_W7.62mm_Socket";"C64 Clock Generator, DIP-16";""
"U22, ";"1";"7416";"7416";"Package_DIP:DIP-14_W7.62mm_Socket";"TTL Hex inverter buffers/drivers with open-collector high-voltage outputs";""
"U23, ";"1";"74LS14";"74LS14";"Package_DIP:DIP-14_W7.62mm_Socket";"Hex inverter schmitt trigger";""
"Y1, ";"1";"Crystal";"Crystal";"Crystal:Crystal_HC49-U_Vertical";"Two pin crystal";""
